datetime,open,high,low,close,volume
2023-01-01,1196.1,1204.79,1190.8,1199.96,1381763.488
2023-01-02,1199.96,1225.0,1191.5,1213.23,2831791.319
2023-01-03,1213.24,1219.5,1203.05,1214.23,2418195.012
2023-01-04,1214.22,1275.0,1212.16,1256.39,5329817.195
2023-01-05,1256.39,1260.0,1242.22,1251.08,2662864.999
2023-01-06,1251.08,1277.77,1233.0,1268.54,4156167.363
2023-01-07,1268.54,1270.66,1260.53,1263.65,1186947.058
2023-01-08,1263.64,1296.0,1256.3,1289.65,2415068.332
2023-01-09,1289.64,1345.0,1284.81,1320.32,6326600.832
2023-01-10,1320.32,1348.7,1316.74,1335.3,3653151.641
2023-01-11,1335.29,1400.0,1319.52,1389.26,4603732.161
2023-01-12,1389.25,1439.36,1358.0,1415.84,8272496.444
2023-01-13,1415.85,1465.49,1400.7,1450.94,5096738.5
2023-01-14,1450.95,1644.92,1448.7,1550.27,7348877.264
2023-01-15,1550.27,1570.0,1516.02,1553.47,3651240.364
2023-01-16,1553.48,1610.5,1520.0,1577.11,5395191.668
2023-01-17,1577.25,1609.0,1540.0,1565.84,4580613.258
2023-01-18,1565.83,1614.6,1501.21,1511.66,6932415.112
2023-01-19,1511.6,1565.0,1509.87,1551.11,3660939.013
2023-01-20,1551.11,1680.0,1541.6,1659.01,5324812.863
2023-01-21,1659.01,1682.44,1615.3,1627.63,4643566.522
2023-01-22,1627.63,1666.0,1603.39,1628.14,3827578.409
2023-01-23,1628.13,1650.0,1585.21,1626.9,3969684.229
2023-01-24,1626.9,1641.89,1530.0,1555.99,4505754.932
2023-01-25,1556.0,1641.18,1512.3,1611.41,6003304.445
2023-01-26,1611.44,1633.0,1575.66,1600.69,4235877.329
2023-01-27,1600.69,1621.46,1551.1,1597.08,4349734.136
2023-01-28,1597.08,1606.66,1555.0,1571.52,2478890.254
2023-01-29,1571.52,1663.68,1565.98,1645.67,5099573.535
2023-01-30,1645.67,1648.49,1529.04,1565.92,5031935.997
